Rank,Year,Movie,Worldwide,Domestic,International
,,,Box Office,Box Office,Box Office
1,2009,Avatar,"$2,899,384,102 ","$785,221,649 ","$2,114,162,453 "
2,2019,Avengers: Endgame,"$2,794,731,755 ","$858,373,000 ","$1,936,358,755 "
3,1997,Titanic,"$2,207,986,545 ","$659,363,944 ","$1,548,622,601 "
4,2022,Avatar: The Way of Water,"$2,172,635,613 ","$638,639,987 ","$1,533,995,626 "
5,2015,Star Wars Ep. VII: The Force Awakens,"$2,064,615,817 ","$936,662,225 ","$1,127,953,592 "
6,2018,Avengers: Infinity War,"$2,048,359,754 ","$678,815,482 ","$1,369,544,272 "
7,2021,Spider-Man: No Way Home,"$1,910,048,245 ","$814,115,070 ","$1,095,933,175 "
8,2015,Jurassic World,"$1,669,963,641 ","$652,306,625 ","$1,017,657,016 "
9,2019,The Lion King,"$1,647,733,638 ","$543,638,043 ","$1,104,095,595 "
10,2012,The Avengers,"$1,515,100,211 ","$623,357,910 ","$891,742,301 "
