Title,Director,Stars,IMDb-Rating,Genres,Duration,Censor-board-rating,ReleaseYear
Rocky,JohnG.Avildsen,"SylvesterStallone, TaliaShire, BurtYoung, CarlWeathers",8.1,"Drama,Sport",120min,U,1976
Big Fish,TimBurton,"EwanMcGregor, AlbertFinney, BillyCrudup, JessicaLange",8,"Adventure,Drama,Fantasy",125min,U,2003
Hot Fuzz,EdgarWright,"SimonPegg, NickFrost, MartinFreeman, BillNighy",7.8,"Action,Comedy,Mystery",121min,UA,2007
L.A. Confidential,CurtisHanson,"KevinSpacey, RussellCrowe, GuyPearce, KimBasinger",8.2,"Crime,Drama,Mystery",138min,A,1997
Silver Linings Playbook,DavidO.Russell,"BradleyCooper, JenniferLawrence, RobertDeNiro, JackiWeaver",7.7,"Comedy,Drama,Romance",122min,A,2012
Unforgiven,ClintEastwood,"ClintEastwood, GeneHackman, MorganFreeman, RichardHarris",8.2,"Drama,Western",130min,A,1992
Twelve Monkeys,TerryGilliam,"BruceWillis, MadeleineStowe, BradPitt, JosephMelito",8,"Mystery,Sci-Fi,Thriller",129min,A,1995
Toy Story 2,"JohnLasseter,","LeeUnkrich, , TomHanks, TimAllen, JoanCusack, KelseyGrammer",7.9,"Animation,Adventure,Comedy",92min,U,1999
(500) Days of Summer,MarcWebb,"ZooeyDeschanel, JosephGordon-Levitt, GeoffreyArend, ChloëGraceMoretz",7.7,"Comedy,Drama,Romance",95min,UA,2009
Dallas Buyers Club,Jean-MarcVallée,"MatthewMcConaughey, JenniferGarner, JaredLeto, SteveZahn",7.9,"Biography,Drama",117min,R,2013
Rio Bravo,HowardHawks,"JohnWayne, DeanMartin, RickyNelson, AngieDickinson",8,Western,141min,NA,1959
Moonrise Kingdom,WesAnderson,"JaredGilman, KaraHayward, BruceWillis, BillMurray",7.8,"Comedy,Drama,Romance",94min,A,2012
Lethal Weapon,RichardDonner,"MelGibson, DannyGlover, GaryBusey, MitchellRyan",7.6,"Action,Crime,Thriller",109min,A,1987
Up,"PeteDocter,",", EdwardAsner, JordanNagai, JohnRatzenberger, ChristopherPlummer",8.3,"Animation,Adventure,Comedy",96min,U,2009
The Others,AlejandroAmenábar,"NicoleKidman, ChristopherEccleston, FionnulaFlanagan, AlakinaMann",7.6,"Horror,Mystery,Thriller",101min,13,2001
"Three Billboards Outside Ebbing, Missouri",MartinMcDonagh,"FrancesMcDormand, WoodyHarrelson, SamRockwell, CalebLandryJones",8.1,"Comedy,Crime,Drama",115min,A,2017
Soul,"PeteDocter,",", JamieFoxx, TinaFey, GrahamNorton, RachelHouse",8,"Animation,Adventure,Comedy",100min,U,2020
Shaun of the Dead,EdgarWright,"SimonPegg, NickFrost, KateAshfield, LucyDavis",7.9,"Comedy,Horror",99min,UA,2004
Salinui chueok,BongJoonHo,"SongKang-ho, KimSang-kyung, Roe-haKim, Jae-hoSong",8.1,"Crime,Drama,Mystery",131min,UA,2003
Le fabuleux destin dAmélie Poulain,Jean-PierreJeunet,"AudreyTautou, MathieuKassovitz, Rufus, LorellaCravotta",8.3,"Comedy,Romance",122min,U,2001
Amadeus,MilosForman,"F.MurrayAbraham, TomHulce, ElizabethBerridge, RoyDotrice",8.4,"Biography,Drama,Music",160min,R,1984
Dances with Wolves,KevinCostner,"KevinCostner, MaryMcDonnell, GrahamGreene, RodneyA.Grant",8,"Adventure,Drama,Western",181min,U,1990
Warrior,"""GavinOConnor""","TomHardy, NickNolte, JoelEdgerton, JenniferMorrison",8.2,"Action,Drama,Sport",140min,UA,2011
Captain America: The Winter Soldier,"AnthonyRusso,",", ChrisEvans, SamuelL.Jackson, ScarlettJohansson, RobertRedford",7.8,"Action,Adventure,Sci-Fi",136min,UA,2014
Casablanca,MichaelCurtiz,"HumphreyBogart, IngridBergman, PaulHenreid, ClaudeRains",8.5,"Drama,Romance,War",102min,U,1942
Manhattan,WoodyAllen,"WoodyAllen, DianeKeaton, MarielHemingway, MichaelMurphy",7.9,"Comedy,Drama,Romance",96min,NA,1979
3 Idiots,RajkumarHirani,"AamirKhan, Madhavan, MonaSingh, SharmanJoshi",8.4,"Comedy,Drama",170min,UA,2009
