Title,Director,Stars,IMDb-Rating,Genres,Duration,Censor-board-rating,ReleaseYear
Billy Elliot,StephenDaldry,"JamieBell, JulieWalters, JeanHeywood, JamieDraven",7.7,"Drama,Music",110min,UA,2000
Solaris,AndreiTarkovsky,"NatalyaBondarchuk, DonatasBanionis, JüriJärvet, VladislavDvorzhetskiy",8,"Drama,Mystery,Sci-Fi",167min,U,1972
Before Midnight,RichardLinklater,"EthanHawke, JulieDelpy, SeamusDavey-Fitzpatrick, ArianeLabed",7.9,"Drama,Romance",109min,R,2013
The Last Picture Show,PeterBogdanovich,"TimothyBottoms, JeffBridges, CybillShepherd, BenJohnson",8,"Drama,Romance",118min,U,1971
Stalker,AndreiTarkovsky,"AlisaFreyndlikh, AleksandrKaydanovskiy, AnatoliySolonitsyn, NikolayGrinko",8.1,"Drama,Sci-Fi",162min,U,1979
In the Name of the Father,JimSheridan,"DanielDay-Lewis, PetePostlethwaite, AlisonCrosbie, PhilipKing",8.1,"Biography,Crime,Drama",133min,UA,1993
Relatos salvajes,DamiánSzifron,"DaríoGrandinetti, MaríaMarull, MónicaVilla, DiegoStarosta",8.1,"Comedy,Drama,Thriller",122min,18,2014
La montaña sagrada,AlejandroJodorowsky,"AlejandroJodorowsky, HoracioSalinas, ZamiraSaunders, JuanFerrara",7.8,"Adventure,Drama,Fantasy",114min,NotRated,1973
127 Hours,DannyBoyle,"JamesFranco, AmberTamblyn, KateMara, SeanBott",7.6,"Biography,Drama",94min,UA,2010
Isle of Dogs,WesAnderson,"BryanCranston, KoyuRankin, EdwardNorton, BobBalaban",7.8,"Animation,Adventure,Comedy",101min,U,2018
Låt den rätte komma in,TomasAlfredson,"KåreHedebrant, LinaLeandersson, PerRagnar, HenrikDahl",7.9,"Drama,Fantasy,Horror",114min,R,2008
White Heat,RaoulWalsh,"JamesCagney, VirginiaMayo, ""EdmondOBrien,"", MargaretWycherly",8.1,"Action,Crime,Drama",114min,NA,1949
The French Connection,WilliamFriedkin,"GeneHackman, RoyScheider, FernandoRey, TonyLoBianco",7.7,"Action,Crime,Drama",104min,A,1971
The Wrestler,DarrenAronofsky,"MickeyRourke, MarisaTomei, EvanRachelWood, MarkMargolis",7.9,"Drama,Sport",109min,UA,2008
The King of Comedy,MartinScorsese,"RobertDeNiro, JerryLewis, DiahnneAbbott, SandraBernhard",7.8,"Comedy,Crime,Drama",109min,U,1982
Per qualche dollaro in più,SergioLeone,"ClintEastwood, LeeVanCleef, GianMariaVolontè, MaraKrupp",8.2,Western,132min,U,1965
Sling Blade,BillyBobThornton,"BillyBobThornton, DwightYoakam, J.T.Walsh, JohnRitter",8,Drama,135min,R,1996
Batoru rowaiaru,KinjiFukasaku,"TatsuyaFujiwara, AkiMaeda, TarôYamamoto, ChiakiKuriyama",7.6,"Action,Adventure,Drama",114min,18,2000
The Apartment,BillyWilder,"JackLemmon, ShirleyMacLaine, FredMacMurray, RayWalston",8.3,"Comedy,Drama,Romance",125min,U,1960
Diarios de motocicleta,WalterSalles,"GaelGarcíaBernal, RodrigodelaSerna, MíaMaestro, MercedesMorán",7.8,"Adventure,Biography,Drama",126min,U,2004
"Paris, Texas",WimWenders,"HarryDeanStanton, NastassjaKinski, DeanStockwell, SamBerry",8,Drama,145min,U,1984
Bonnie and Clyde,ArthurPenn,"WarrenBeatty, FayeDunaway, MichaelJ.Pollard, GeneHackman",7.7,"Action,Biography,Crime",111min,A,1967
Det sjunde inseglet,IngmarBergman,"MaxvonSydow, GunnarBjörnstrand, BengtEkerot, NilsPoppe",8.1,"Drama,Fantasy",96min,A,1957
Dawn of the Dead,GeorgeA.Romero,"DavidEmge, KenForee, ScottH.Reiniger, GaylenRoss",7.8,"Horror,Thriller",127min,A,1978
Das Cabinet des Dr. Caligari,RobertWiene,"WernerKrauss, ConradVeidt, FriedrichFeher, LilDagover",8,"Horror,Mystery,Thriller",76min,NA,1920
Serpico,SidneyLumet,"AlPacino, JohnRandolph, JackKehoe, BiffMcGuire",7.7,"Biography,Crime,Drama",130min,A,1973
Vikram Vedha,"Gayatri,",", Madhavan, VijaySethupathi, ShraddhaSrinath, Kathir",8.2,"Action,Crime,Drama",147min,UA,2017
What Ever Happened to Baby Jane?,RobertAldrich,"BetteDavis, JoanCrawford, VictorBuono, WesleyAddy",8,"Drama,Horror,Thriller",134min,A,1962
Gake no ue no Ponyo,HayaoMiyazaki,"CateBlanchett, MattDamon, LiamNeeson, TomokoYamaguchi",7.6,"Animation,Adventure,Comedy",101min,U,2008
21 Grams,AlejandroG.Iñárritu,"SeanPenn, BenicioDelToro, NaomiWatts, DannyHuston",7.7,"Crime,Drama,Thriller",124min,UA,2003
Ip Man,WilsonYip,"DonnieYen, SimonYam, Siu-WongFan, Ka-TungLam",8,"Action,Biography,Drama",106min,R,2008
Detachment,TonyKaye,"AdrienBrody, ChristinaHendricks, MarciaGayHarden, LucyLiu",7.7,Drama,98min,NA,2011
Cool Hand Luke,StuartRosenberg,"PaulNewman, GeorgeKennedy, StrotherMartin, J.D.Cannon",8.1,"Crime,Drama",127min,A,1967
The Insider,MichaelMann,"RussellCrowe, AlPacino, ChristopherPlummer, DianeVenora",7.8,"Biography,Drama,Thriller",157min,UA,1999
Night of the Living Dead,GeorgeA.Romero,"DuaneJones, ""JudithODea,"", KarlHardman, MarilynEastman",7.8,"Horror,Thriller",96min,A,1968
Jai Bhim,T.J.Gnanavel,"Suriya, LijoMolJose, ManikandanK., RajishaVijayan",8.9,"Crime,Drama,Mystery",164min,A,2021
On the Waterfront,EliaKazan,"MarlonBrando, KarlMalden, LeeJ.Cobb, RodSteiger",8.1,"Crime,Drama,Thriller",108min,A,1954
La grande bellezza,PaoloSorrentino,"ToniServillo, CarloVerdone, SabrinaFerilli, CarloBuccirosso",7.7,Drama,141min,NA,2013
October Sky,JoeJohnston,"JakeGyllenhaal, ChrisCooper, LauraDern, ChrisOwen",7.8,"Biography,Drama,Family",108min,PG,1999
Jodaeiye Nader az Simin,AsgharFarhadi,"PaymanMaadi, LeilaHatami, SarehBayat, ShahabHosseini",8.3,Drama,123min,7,2011
Lola rennt,TomTykwer,"FrankaPotente, MoritzBleibtreu, HerbertKnaup, NinaPetri",7.7,"Action,Crime,Thriller",81min,UA,1998
The Fall,TarsemSingh,"LeePace, CatincaUntaru, JustineWaddell, KimUylenbroek",7.8,"Adventure,Drama,Fantasy",117min,R,2006
The Thin Man,W.S.VanDyke,"WilliamPowell, MyrnaLoy, ""MaureenOSullivan,"", NatPendleton",7.9,"Comedy,Mystery",91min,NA,1934
PK,RajkumarHirani,"AamirKhan, AnushkaSharma, SanjayDutt, BomanIrani",8.1,"Comedy,Drama,Sci-Fi",153min,UA,2014
Glengarry Glen Ross,JamesFoley,"AlPacino, JackLemmon, AlecBaldwin, AlanArkin",7.7,"Crime,Drama,Mystery",100min,R,1992
Mississippi Burning,AlanParker,"GeneHackman, WillemDafoe, FrancesMcDormand, BradDourif",7.8,"Crime,Drama,History",128min,A,1988
Searching,AneeshChaganty,"JohnCho, DebraMessing, JosephLee, MichelleLa",7.6,"Drama,Mystery,Thriller",102min,U/A,2018
Seppuku,MasakiKobayashi,"TatsuyaNakadai, AkiraIshihama, ShimaIwashita, TetsurôTanba",8.6,"Action,Drama,Mystery",133min,NA,1962
In the Heat of the Night,NormanJewison,"SidneyPoitier, RodSteiger, WarrenOates, LeeGrant",7.9,"Drama,Mystery,Thriller",110min,U,1967
Rebecca,AlfredHitchcock,"LaurenceOlivier, JoanFontaine, GeorgeSanders, JudithAnderson",8.1,"Drama,Film-Noir,Mystery",130min,NA,1940
Kung fu,StephenChow,"StephenChow, WahYuen, QiuYuen, Siu-LungLeung",7.7,"Action,Comedy,Fantasy",99min,UA,2004
The Outlaw Josey Wales,ClintEastwood,"ClintEastwood, SondraLocke, ChiefDanGeorge, BillMcKinney",7.8,Western,135min,UA,1976
Persona,IngmarBergman,"BibiAndersson, LivUllmann, MargarethaKrook, GunnarBjörnstrand",8.1,"Drama,Thriller",85min,NA,1966
Network,SidneyLumet,"FayeDunaway, WilliamHolden, PeterFinch, RobertDuvall",8.1,Drama,121min,UA,1976
Nosferatu,F.W.Murnau,"MaxSchreck, AlexanderGranach, GustavvonWangenheim, GretaSchröder",7.9,"Fantasy,Horror",94min,NA,1922
From Here to Eternity,FredZinnemann,"BurtLancaster, MontgomeryClift, DeborahKerr, DonnaReed",7.6,"Drama,Romance,War",118min,NA,1953
Ordinary People,RobertRedford,"DonaldSutherland, MaryTylerMoore, JuddHirsch, TimothyHutton",7.7,Drama,124min,U,1980
Roma,AlfonsoCuarón,"YalitzaAparicio, MarinadeTavira, DiegoCortinaAutrey, CarlosPeralta",7.7,Drama,135min,16,2018
Roman Holiday,WilliamWyler,"GregoryPeck, AudreyHepburn, EddieAlbert, HartleyPower",8,"Comedy,Romance",118min,U,1953
Dangal,NiteshTiwari,"AamirKhan, SakshiTanwar, FatimaSanaShaikh, SanyaMalhotra",8.3,"Action,Biography,Drama",161min,U,2016
Ran,AkiraKurosawa,"TatsuyaNakadai, AkiraTerao, JinpachiNezu, DaisukeRyû",8.2,"Action,Drama,War",162min,U,1985
This Is England,ShaneMeadows,"ThomasTurgoose, StephenGraham, JoHartley, AndrewShim",7.7,"Crime,Drama",101min,A,2006
La migliore offerta,GiuseppeTornatore,"GeoffreyRush, JimSturgess, SylviaHoeks, DonaldSutherland",7.8,"Crime,Drama,Mystery",131min,R,2013
The Remains of the Day,JamesIvory,"AnthonyHopkins, EmmaThompson, JohnHaycraft, ChristopherReeve",7.8,"Drama,Romance",134min,U,1993
Paths of Glory,StanleyKubrick,"KirkDouglas, RalphMeeker, AdolpheMenjou, GeorgeMacready",8.4,"Drama,War",88min,A,1957
Clerks,KevinSmith,"""BrianOHalloran,"", JeffAnderson, MarilynGhigliotti, LisaSpoonauer",7.7,Comedy,92min,U,1994
Hotel Rwanda,TerryGeorge,"DonCheadle, SophieOkonedo, JoaquinPhoenix, XolaniMali",8.1,"Biography,Drama,History",121min,UA,2004
Der Name der Rose,Jean-JacquesAnnaud,"SeanConnery, ChristianSlater, HelmutQualtinger, ElyaBaskin",7.7,"Drama,History,Mystery",130min,UA,1986
Belle de jour,LuisBuñuel,"CatherineDeneuve, JeanSorel, MichelPiccoli, GenevièvePage",7.7,"Drama,Romance",100min,A,1967
Nebraska,AlexanderPayne,"BruceDern, WillForte, JuneSquibb, BobOdenkirk",7.7,"Adventure,Comedy,Drama",115min,UA,2013
The Man Who Shot Liberty Valance,JohnFord,"JamesStewart, JohnWayne, VeraMiles, LeeMarvin",8.1,"Drama,Western",123min,U,1962
La dolce vita,FedericoFellini,"MarcelloMastroianni, AnitaEkberg, AnoukAimée, YvonneFurneaux",8,"Comedy,Drama",174min,A,1960
Pink Floyd: The Wall,AlanParker,"BobGeldof, ChristineHargreaves, JamesLaurenson, EleanorDavid",8,"Drama,Fantasy,Music",95min,A,1982
Enter the Dragon,RobertClouse,"BruceLee, JohnSaxon, JimKelly, AhnaCapri",7.6,"Action,Crime,Drama",102min,A,1973
Judgment at Nuremberg,StanleyKramer,"SpencerTracy, BurtLancaster, RichardWidmark, MarleneDietrich",8.3,"Drama,War",179min,A,1961
Cabaret,BobFosse,"LizaMinnelli, MichaelYork, HelmutGriem, JoelGrey",7.7,"Drama,Music,Musical",124min,A,1972
Papurika,SatoshiKon,"MegumiHayashibara, TôruEmori, KatsunosukeHori, TôruFuruya",7.7,"Animation,Drama,Fantasy",90min,U,2006
Charade,StanleyDonen,"CaryGrant, AudreyHepburn, WalterMatthau, JamesCoburn",7.9,"Comedy,Mystery,Romance",113min,U,1963
Sing Street,JohnCarney,"FerdiaWalsh-Peelo, AidanGillen, MariaDoyleKennedy, JackReynor",7.9,"Comedy,Drama,Music",106min,PG-13,2016
High Noon,FredZinnemann,"GaryCooper, GraceKelly, ThomasMitchell, LloydBridges",8,"Drama,Thriller,Western",85min,U,1952
I Am Sam,JessieNelson,"SeanPenn, MichellePfeiffer, DakotaFanning, DianneWiest",7.6,Drama,132min,U,2001
Tumbbad,"RahiAnilBarve,","AdeshPrasad, , SohumShah, JyotiMalshe, AnitaDate-Kelkar, RonjiniChakraborty",8.2,"Drama,Fantasy,Horror",104min,A,2018
Kôkaku Kidôtai,MamoruOshii,"AtsukoTanaka, IemasaKayumi, AkioÔtsuka, KôichiYamadera",7.9,"Animation,Action,Crime",83min,UA,1995
Mysterious Skin,GreggAraki,"BradyCorbet, JosephGordon-Levitt, ElisabethShue, ChaseEllison",7.6,Drama,105min,Unrated,2004
Kaze tachinu,HayaoMiyazaki,"HideakiAnno, HidetoshiNishijima, MioriTakimoto, MasahikoNishimura",7.7,"Animation,Biography,Drama",126min,NotRated,2013
Millers Crossing,"JoelCoen,",", GabrielByrne, AlbertFinney, JohnTurturro, MarciaGayHarden",7.7,"Crime,Drama,Thriller",115min,NA,1990
Trois couleurs: Blanc,KrzysztofKieslowski,"ZbigniewZamachowski, JulieDelpy, JanuszGajos, JerzyStuhr",7.6,"Comedy,Drama,Romance",92min,U,1994
The Quiet Man,JohnFord,"JohnWayne, ""MaureenOHara,"", BarryFitzgerald, WardBond",7.7,"Comedy,Drama,Romance",129min,NA,1952
Majo no takkyûbin,HayaoMiyazaki,"KirstenDunst, MinamiTakayama, ReiSakuma, KappeiYamaguchi",7.8,"Animation,Adventure,Family",103min,U,1989
Tenkû no shiro Rapyuta,HayaoMiyazaki,"MayumiTanaka, KeikoYokozawa, KotoeHatsui, MinoriTerada",8,"Animation,Adventure,Family",125min,U,1986
All About Eve,JosephL.Mankiewicz,"BetteDavis, AnneBaxter, GeorgeSanders, CelesteHolm",8.2,Drama,138min,NA,1950
Days of Heaven,TerrenceMalick,"RichardGere, BrookeAdams, SamShepard, LindaManz",7.8,"Drama,Romance",94min,NA,1978
Kramer vs. Kramer,RobertBenton,"DustinHoffman, MerylStreep, JaneAlexander, JustinHenry",7.8,Drama,105min,U,1979
Kaze no tani no Naushika,HayaoMiyazaki,"SumiShimamoto, MahitoTsujimura, HisakoKyôda, GorôNaya",8,"Animation,Adventure,Sci-Fi",117min,U,1984
The Searchers,JohnFord,"JohnWayne, JeffreyHunter, VeraMiles, WardBond",7.9,"Adventure,Drama,Western",119min,U,1956
Malcolm X,SpikeLee,"DenzelWashington, AngelaBassett, DelroyLindo, SpikeLee",7.7,"Biography,Drama,History",202min,U,1992
50/50,JonathanLevine,"JosephGordon-Levitt, SethRogen, AnnaKendrick, BryceDallasHoward",7.6,"Comedy,Drama,Romance",100min,18,2011
"South Park: Bigger, Longer & Uncut",TreyParker,"TreyParker, MattStone, MaryKayBergman, IsaacHayes",7.7,"Animation,Comedy,Fantasy",81min,A,1999
Mommy,XavierDolan,"AnneDorval, AntoineOlivierPilon, SuzanneClément, PatrickHuard",8,Drama,139min,R,2014
Ying xiong,YimouZhang,"JetLi, TonyChiu-WaiLeung, MaggieCheung, ZiyiZhang",7.9,"Action,Adventure,Drama",120min,UA,2002
8½,FedericoFellini,"MarcelloMastroianni, AnoukAimée, ClaudiaCardinale, SandraMilo",8,Drama,138min,NA,1963
Manbiki kazoku,HirokazuKoreeda,"LilyFranky, SakuraAndô, KirinKiki, MayuMatsuoka",7.9,"Crime,Drama",121min,A,2018
The Big Sleep,HowardHawks,"HumphreyBogart, LaurenBacall, JohnRidgely, MarthaVickers",7.9,"Crime,Film-Noir,Mystery",114min,NA,1946
Cinderella Man,RonHoward,"RussellCrowe, RenéeZellweger, CraigBierko, PaulGiamatti",8,"Biography,Drama,Romance",144min,UA,2005
Badlands,TerrenceMalick,"MartinSheen, SissySpacek, WarrenOates, RamonBieri",7.7,"Action,Crime,Drama",94min,NA,1973
Lucky Number Slevin,PaulMcGuigan,"JoshHartnett, BenKingsley, MorganFreeman, LucyLiu",7.7,"Crime,Drama,Thriller",110min,R,2006
Klaus,"SergioPablos,",", JasonSchwartzman, J.K.Simmons, RashidaJones, WillSasso",8.1,"Animation,Adventure,Comedy",96min,7,2019
Witness for the Prosecution,BillyWilder,"TyronePower, MarleneDietrich, CharlesLaughton, ElsaLanchester",8.4,"Crime,Drama,Mystery",116min,U,1957
Once Were Warriors,LeeTamahori,"RenaOwen, TemueraMorrison, MamaengaroaKerr-Bell, JulianArahanga",7.9,"Crime,Drama",102min,A,1994
Flipped,RobReiner,"MadelineCarroll, CallanMcAuliffe, RebeccaDeMornay, AnthonyEdwards",7.7,"Comedy,Drama,Romance",90min,PG,2010
Rebel Without a Cause,NicholasRay,"JamesDean, NatalieWood, SalMineo, JimBackus",7.6,Drama,111min,U,1955
Chun gwong cha sit,Kar-WaiWong,"LeslieCheung, TonyChiu-WaiLeung, ChangChen, GregoryDayton",7.7,,"Drama,Romance",96min,1997
Dancer in the Dark,LarsvonTrier,"Björk, CatherineDeneuve, DavidMorse, PeterStormare",7.9,"Crime,Drama,Musical",140min,U,2000
Serbuan maut 2: Berandal,GarethEvans,"IkoUwais, YayanRuhian, ArifinPutra, OkaAntara",7.9,"Action,Crime,Thriller",150min,A,2014
Spoorloos,GeorgeSluizer,"Bernard-PierreDonnadieu, GeneBervoets, JohannaterSteege, GwenEckhaus",7.7,"Mystery,Thriller",107min,NotRated,1988
The Last Emperor,BernardoBertolucci,"JohnLone, JoanChen, ""PeterOToole,"", RuochengYing",7.7,"Biography,Drama,History",163min,U,1987
Patton,FranklinJ.Schaffner,"GeorgeC.Scott, KarlMalden, StephenYoung, MichaelStrong",7.9,"Biography,Drama,War",172min,U,1970
The Hustler,RobertRossen,"PaulNewman, JackieGleason, PiperLaurie, GeorgeC.Scott",8,"Drama,Sport",134min,A,1961
Taare Zameen Par,"AamirKhan,",", DarsheelSafary, AamirKhan, TiscaChopra, VipinSharma",8.3,"Drama,Family",165min,U,2007
Ray,TaylorHackford,"JamieFoxx, ReginaKing, KerryWashington, CliftonPowell",7.7,"Biography,Drama,Music",152min,A,2004
Modern Times,CharlesChaplin,"CharlesChaplin, PauletteGoddard, HenryBergman, TinySandford",8.5,"Comedy,Drama,Romance",87min,NA,1936
Happiness,ToddSolondz,"JaneAdams, JonLovitz, PhilipSeymourHoffman, DylanBaker",7.7,"Comedy,Drama",134min,NA,1998
King Kong,"MerianC.Cooper,",", FayWray, RobertArmstrong, BruceCabot, FrankReicher",7.9,"Adventure,Horror,Sci-Fi",100min,NA,1933
The Great Dictator,CharlesChaplin,"CharlesChaplin, PauletteGoddard, JackOakie, ReginaldGardiner",8.4,"Comedy,Drama,War",125min,NA,1940
Me and Earl and the Dying Girl,AlfonsoGomez-Rejon,"ThomasMann, RJCyler, OliviaCooke, NickOfferman",7.7,"Comedy,Drama",105min,PG-13,2015
Yôjinbô,AkiraKurosawa,"ToshirôMifune, EijirôTôno, TatsuyaNakadai, YôkoTsukasa",8.2,"Action,Drama,Thriller",110min,U,1961
Madeo,BongJoonHo,"Hye-jaKim, WonBin, JinGoo, Je-munYun",7.8,"Crime,Drama,Mystery",129min,R,2009
Zwartboek,PaulVerhoeven,"CaricevanHouten, SebastianKoch, ThomHoffman, HalinaReijn",7.7,"Drama,Thriller,War",145min,A,2006
Barton Fink,"JoelCoen,",", JohnTurturro, JohnGoodman, JudyDavis, MichaelLerner",7.6,"Comedy,Drama,Thriller",116min,A,1991
The Last King of Scotland,KevinMacdonald,"JamesMcAvoy, ForestWhitaker, GillianAnderson, KerryWashington",7.7,"Biography,Drama,History",123min,A,2006
Zulu,CyEndfield,"StanleyBaker, JackHawkins, UllaJacobsson, JamesBooth",7.7,"Drama,History,War",138min,U,1964
The Best Years of Our Lives,WilliamWyler,"MyrnaLoy, DanaAndrews, FredricMarch, TeresaWright",8.1,"Drama,Romance,War",170min,NA,1946
Letters from Iwo Jima,ClintEastwood,"KenWatanabe, KazunariNinomiya, TsuyoshiIhara, RyôKase",7.9,"Action,Adventure,Drama",141min,UA,2006
Dial M for Murder,AlfredHitchcock,"RayMilland, GraceKelly, RobertCummings, JohnWilliams",8.2,"Crime,Thriller",105min,A,1954
The Artist,MichelHazanavicius,"JeanDujardin, BéréniceBejo, JohnGoodman, JamesCromwell",7.9,"Comedy,Drama,Romance",100min,U,2011
Abre los ojos,AlejandroAmenábar,"EduardoNoriega, PenélopeCruz, CheteLera, FeleMartínez",7.7,"Drama,Mystery,Sci-Fi",119min,U,1997
The Maltese Falcon,JohnHuston,"HumphreyBogart, MaryAstor, GladysGeorge, PeterLorre",8,"Crime,Film-Noir,Mystery",100min,NA,1941
Seven Pounds,GabrieleMuccino,"WillSmith, RosarioDawson, WoodyHarrelson, MichaelEaly",7.6,Drama,123min,UA,2008
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","HideakiAnno,",", MegumiOgata, MegumiHayashibara, YûkoMiyamura, KotonoMitsuishi",8,"Animation,Action,Drama",87min,NotRated,1997
Sardar Udham,ShoojitSircar,"VickyKaushal, ShaunScott, StephenHogan, AmolParashar",8.5,"Biography,Crime,Drama",164min,UA13+,2021
WolfWalkers,"TommMoore,",", HonorKneafsey, EvaWhittaker, SeanBean, SimonMcBurney",8,"Animation,Adventure,Family",103min,UA,2020
Fiddler on the Roof,NormanJewison,"Topol, NormaCrane, LeonardFrey, MollyPicon",8,"Drama,Family,Musical",181min,U,1971
Short Cuts,RobertAltman,"AndieMacDowell, JulianneMoore, TimRobbins, BruceDavison",7.7,"Comedy,Drama",188min,R,1993
Strangers on a Train,AlfredHitchcock,"FarleyGranger, RobertWalker, RuthRoman, LeoG.Carroll",7.9,"Crime,Drama,Film-Noir",101min,A,1951
East of Eden,EliaKazan,"JamesDean, RaymondMassey, JulieHarris, BurlIves",7.8,Drama,118min,U,1955
The Third Man,CarolReed,"OrsonWelles, JosephCotten, AlidaValli, TrevorHoward",8.1,"Film-Noir,Mystery,Thriller",104min,U,1949
Rope,AlfredHitchcock,"JamesStewart, JohnDall, FarleyGranger, DickHogan",7.9,"Crime,Drama,Mystery",80min,A,1948
All That Jazz,BobFosse,"RoyScheider, JessicaLange, AnnReinking, LelandPalmer",7.8,"Drama,Music,Musical",123min,A,1979
Frankenstein,JamesWhale,"ColinClive, MaeClarke, BorisKarloff, JohnBoles",7.8,"Drama,Horror,Sci-Fi",70min,A,1931
Breaking the Waves,LarsvonTrier,"EmilyWatson, StellanSkarsgård, KatrinCartlidge, Jean-MarcBarr",7.8,Drama,159min,R,1996
Kubo and the Two Strings,TravisKnight,"CharlizeTheron, ArtParkinson, MatthewMcConaughey, RalphFiennes",7.7,"Animation,Action,Adventure",101min,U,2016
The Straight Story,DavidLynch,"RichardFarnsworth, SissySpacek, JaneGallowayHeitz, JosephA.Carpenter",8,"Biography,Drama",112min,U,1999
Togo,EricsonCore,"WillemDafoe, JulianneNicholson, ChristopherHeyerdahl, RichardDormer",7.9,"Adventure,Biography,Drama",113min,U,2019
My Left Foot: The Story of Christy Brown,JimSheridan,"DanielDay-Lewis, BrendaFricker, AlisonWhelan, KirstenSheridan",7.9,"Biography,Drama",103min,U,1989
Being There,HalAshby,"PeterSellers, ShirleyMacLaine, MelvynDouglas, JackWarden",8,"Comedy,Drama",130min,,1979
Hable con ella,PedroAlmodóvar,"RosarioFlores, JavierCámara, DaríoGrandinetti, LeonorWatling",7.9,"Drama,Mystery,Romance",112min,R,2002
La leggenda del pianista sulloceano,GiuseppeTornatore,"TimRoth, PruittTaylorVince, MélanieThierry, BillNunn",8,"Drama,Music,Romance",169min,NotRated,1998
Amour,MichaelHaneke,"Jean-LouisTrintignant, EmmanuelleRiva, IsabelleHuppert, AlexandreTharaud",7.9,Drama,127min,UA,2012
Mary and Max.,AdamElliot,"ToniCollette, PhilipSeymourHoffman, EricBana, BarryHumphries",8.1,"Animation,Comedy,Drama",92min,,2009
Stagecoach,JohnFord,"JohnWayne, ClaireTrevor, AndyDevine, JohnCarradine",7.8,"Adventure,Drama,Western",96min,,1939
It Happened One Night,FrankCapra,"ClarkGable, ClaudetteColbert, WalterConnolly, RoscoeKarns",8.1,"Comedy,Romance",105min,,1934
A Christmas Story,BobClark,"PeterBillingsley, MelindaDillon, DarrenMcGavin, ScottSchwartz",7.9,"Comedy,Family",93min,U,1983
Nashville,RobertAltman,"KeithCarradine, KarenBlack, RoneeBlakley, ShelleyDuvall",7.7,"Comedy,Drama,Music",160min,,1975
The Philadelphia Story,GeorgeCukor,"CaryGrant, KatharineHepburn, JamesStewart, RuthHussey",7.9,"Comedy,Romance",112min,,1940
Gangs of Wasseypur,AnuragKashyap,"ManojBajpayee, RichaChadha, NawazuddinSiddiqui, TigmanshuDhulia",8.2,"Action,Comedy,Crime",321min,A,2012
To Be or Not to Be,ErnstLubitsch,"CaroleLombard, JackBenny, RobertStack, FelixBressart",8.2,"Comedy,Romance,War",99min,,1942
Hamlet,KennethBranagh,"KennethBranagh, JulieChristie, DerekJacobi, KateWinslet",7.8,Drama,242min,PG-13,1996
Doragon bôru chô: Burorî,TatsuyaNagamine,"MasakoNozawa, AyaHisakawa, RyôHorikawa, ToshioFurukawa",7.8,"Animation,Action,Adventure",100min,UA,2018
Once,JohnCarney,"GlenHansard, MarkétaIrglová, HughWalsh, GerardHendrick",7.8,"Drama,Music,Romance",86min,R,2007
Tengoku to jigoku,AkiraKurosawa,"ToshirôMifune, YutakaSada, TatsuyaNakadai, KyôkoKagawa",8.4,"Crime,Drama,Mystery",143min,,1963
The Manchurian Candidate,JohnFrankenheimer,"FrankSinatra, LaurenceHarvey, JanetLeigh, AngelaLansbury",7.9,"Drama,Thriller",126min,A,1962
Fanny och Alexander,IngmarBergman,"BertilGuve, PernillaAllwin, KristinaAdolphson, BörjeAhlstedt",8.1,Drama,188min,A,1982
Der Himmel über Berlin,WimWenders,"BrunoGanz, SolveigDommartin, OttoSander, CurtBois",8,"Drama,Fantasy,Romance",128min,U,1987
The Treasure of the Sierra Madre,JohnHuston,"HumphreyBogart, WalterHuston, TimHolt, BruceBennett",8.2,"Adventure,Drama,Western",126min,,1948
Harold and Maude,HalAshby,"RuthGordon, BudCort, VivianPickles, CyrilCusack",7.9,"Comedy,Drama,Romance",91min,,1971
Rashômon,AkiraKurosawa,"ToshirôMifune, MachikoKyô, MasayukiMori, TakashiShimura",8.2,"Crime,Drama,Mystery",88min,U,1950
Short Term 12,DestinDanielCretton,"BrieLarson, FrantzTurner, JohnGallagherJr., KaitlynDever",7.9,Drama,96min,R,2013
Where Eagles Dare,BrianG.Hutton,"RichardBurton, ClintEastwood, MaryUre, PatrickWymark",7.6,"Action,Adventure,War",158min,U,1968
The Killing Fields,RolandJoffé,"SamWaterston, HaingS.Ngor, JohnMalkovich, JulianSands",7.8,"Biography,Drama,History",141min,A,1984
Ajeossi,Jeong-beomLee,"WonBin, KimSae-ron, KimTae-hoon, KimHee-won",7.7,"Action,Crime,Drama",119min,7,2010
Beasts of No Nation,CaryJojiFukunaga,"AbrahamAttah, EmmanuelAffadzi, RickyAdelayitor, AndrewAdote",7.7,"Drama,War",137min,,2015
The Odd Couple,GeneSaks,"JackLemmon, WalterMatthau, JohnFiedler, HerbEdelman",7.6,Comedy,105min,,1968
Fantasia,"JamesAlgar,","FordBeebeJr., NormanFerguson, DavidHand, JimHandley, T.Hee, WilfredJackson, HamiltonLuske, BillRoberts, PaulSatterfield, BenSharpsteen, , LeopoldStokowski, DeemsTaylor, ThePhiladelphiaOrchestra, CoreyBurton",7.7,"Animation,Family,Fantasy",125min,U,1940
The Day of the Jackal,FredZinnemann,"EdwardFox, TerenceAlexander, MichelAuclair, AlanBadel",7.8,"Crime,Drama,Thriller",143min,A,1973
Waking Life,RichardLinklater,"EthanHawke, TrevorJackBrooks, LoreleiLinklater, WileyWiggins",7.7,"Animation,Drama,Fantasy",99min,R,2001
